Filename,Checkout_No,Type ,Sensor_Make,Sensor_Model,Sensor_SN,Limits,Dimensions,Site,,
008-07-15-09,124,Temperature/Humidity,Rotronic,MP101A,137138,0 - 100,%,J,,
008-07-15-09,124,Current Sensor,Aanderaa, DCS 3900R,67,0 - 300,cm/sec,J,,
008-07-15-09,124,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,J,,
008-07-15-09,124,Temperature/Humidity,Rotronic,MP101A,137138,(-)30 - (+)70,degree,J,,
008-07-15-09,124,Barometer,Vaisala,PTB210,B3040002,500 - 1100,hPa,J,,
008-07-15-09,124,Anemometer,Gill,Windsonic,041839,0 - 60,m/s,J,,
008-07-15-09,124,Conductivity,Aanderaa,3919B,348,0 - 75,mmho/cm,J,,
008-07-15-09,124,Argos,Seimac,Wildcat,67705,N/A,N/A,J,,
008-07-15-09,124,GPS,Garmin,16,N/A,N/A,N/A,J,,
008-07-15-09,124,Modem,Qualcomm,GSP 1620,74024191,N/A,N/A,J,,
008-08-08-08,123,Temperature/Humidity,Rotronic,MP101A,142056,0 - 100,%,B,,
008-08-08-08,123,Current Sensor,Aanderaa,DCS 4100R,67,0-300,cm/s,B,,
008-08-08-08,123,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
008-08-08-08,123,Temperature/Humidity,Rotronic,MP101A,142056,(-)30 - (+)70,degree,B,,
008-08-08-08,123,Barometer,Vaisala,PTB210,B3040002,500 - 1100,hPa,B,,
008-08-08-08,123,Anemometer,Gill,Windsonic,041839,0 - 60,m/s,B,,
008-08-08-08,123,Conductivity,Aanderaa,3919B,348,0 - 75,mmho/cm,B,,
008-08-08-08,123,Argos,Seimac,Wildcat,67705,N/A,N/A,B,,
008-08-08-08,123,GPS,Garmin,16,N/A,N/A,N/A,B,,
008-08-08-08,123,Modem,Qualcomm,GSP 1620,74024191,N/A,N/A,B,,
008-08-30-06,121,Temperature/Humidity,Rotronic,MP101A,123721,0 - 100,%,K,,
008-08-30-06,121,Current Sensor,Aanderaa,DCS 3900R,363,0 - 300,cm/sec,K,,
008-08-30-06,121,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,K,,
008-08-30-06,121,Temperature/Humidity,Rotronic,MP101A,123721,(-)30 - (+)70,degree,K,,
008-08-30-06,121,Barometer,Vaisala,PTB210,A3510001,500 - 1100,hPa,K,,
008-08-30-06,121,Anemometer,Gill,Windsonic,041839,0 - 60,m/s,K,,
008-08-30-06,121,Conductivity,Aanderaa,3919B,347,0 - 75,mmho/cm,K,,
008-08-30-06,121,Argos,Seimac,Wildcat,67705,N/A,N/A,K,,
008-08-30-06,121,GPS,Garmin,16,N/A,N/A,N/A,K,,
008-08-30-06,121,Modem,Qualcomm,GSP  1620,74024191,N/A,N/A,K,,
008-11-04-05,119,Temperature/Humidity,Rotronic,MP101A,113719,0 - 100,%,J,,
008-11-04-05,119,Current Sensor,Aanderaa,DCS 3900R,363,0 - 300,cm/sec,J,,
008-11-04-05,119,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,J,,
008-11-04-05,119,Temperature/Humidity,Rotronic,MP101A,113719,(-)30 - (+)70,degree,J,,
008-11-04-05,119,Barometer,Vaisala,PTB210,A3510001,500 - 1100,hPa,J,,
008-11-04-05,119,Anemometer,Gill,Windsonic,041839,0 - 60,m/s,J,,
008-11-04-05,119,Conductivity,Aanderaa,3919B,347,0 - 75,mmho/cm,J,,
008-11-04-05,119,Argos,Seimac,Wildcat,67705,N/A,N/A,J,,
008-11-04-05,119,GPS,Garmin,16,N/A,N/A,N/A,J,,
008-11-04-05,119,Modem,Qualcomm,GSP 1620,74024191,N/A,N/A,J,,
009-01-12-10,131,Temperature/Humidity,Rotronic,MP101A,123720,0 - 100,%,K,,
009-01-12-10,131,Current Sensor,Aanderaa, DCS 3900R,507,0-300,cm/s,K,,
009-01-12-10,131,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,K,,
009-01-12-10,131,Temperature/Humidity,Rotronic,MP101A,123720,(-)30 - (+)70,degree,K,,
009-01-12-10,131,Barometer,Vaisala,PTB210,B3040001,500 - 1100,hPa,K,,
009-01-12-10,131,Anemometer,Gill,Windsonic,034945,0 - 60,m/s,K,,
009-01-12-10,131,Conductivity,Aanderaa,3919B,694,0 - 75,mmho/cm,K,,
009-01-12-10,131,Argos,Seimac,Wildcat,67701,N/A,N/A,K,,
009-01-12-10,131,GPS,Garmin,16,N/A,N/A,N/A,K,,
009-01-12-10,131,Modem,Qualcomm,GSP 1620,74046B42,N/A,N/A,K,,
009-01-29-08,129,Temperature/Humidity,Rotronic,MP101A,137139,0 - 100,%,B,,
009-01-29-08,129,Current Sensor,Aanderaa,DCS 3900R,507,0-300,cm/s,B,,
009-01-29-08,129,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
009-01-29-08,129,Temperature/Humidity,Rotronic,MP101A,137139,(-)30 - (+)70,degree,B,,
009-01-29-08,129,Barometer,Vaisala,PTB210,A930038,500 - 1100,hPa,B,,
009-01-29-08,129,Anemometer,Gill,Windsonic,034945,0 - 60,m/s,B,,
009-01-29-08,129,Conductivity,Aanderaa,3919B,694,0 - 75,mmho/cm,B,,
009-01-29-08,129,Argos,Seimac,Wildcat,67701,N/A,N/A,B,,
009-01-29-08,129,GPS,Garmin,16,N/A,N/A,N/A,B,,
009-01-29-08,129,Modem,Qualcomm,GSP 1620,740408AC,N/A,N/A,B,,
009-02-23-07,128,Temperature/Humidity,Rotronic,MP101A,123719,0 - 100,%,K,,
009-02-23-07,128,Current Sensor,Aanderaa, DCS 3820R,507,0 - 300,cm/sec,K,,
009-02-23-07,128,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,K,,
009-02-23-07,128,Temperature/Humidity,Rotronic,MP101A,123719,(-)30 - (+)70,degree,K,,
009-02-23-07,128,Barometer,Vaisala,PTB210,A390038,500 - 1100,hPa,K,,
009-02-23-07,128,Anemometer,Gill,Windsonic,034945,0 - 60,m/s,K,,
009-02-23-07,128,Conductivity,Aanderaa,3919B,35,0 - 75,mmho/cm,K,,
009-02-23-07,128,Argos,Seimac,Wildcat,67701,N/A,N/A,K,,
009-02-23-07,128,GPS,Garmin,16,N/A,N/A,N/A,K,,
009-02-23-07,128,Modem,Qualcomm,GSP 1620,74046583,N/A,N/A,K,,
009-07-03-06,127,Temperature/Humidity,Rotronic,MP101A,115466,0 - 100,%,B,,
009-07-03-06,127,Current Sensor,Aanderaa,DCS 3820R,507,0 - 300,cm/sec,B,,
009-07-03-06,127,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
009-07-03-06,127,Temperature/Humidity,Rotronic,MP101A,115466,(-)30 - (+)70,degree,B,,
009-07-03-06,127,Barometer,Vaisala,PTB210,Y0840001,500 - 1100,hPa,B,,
009-07-03-06,127,Anemometer,Gill,Windsonic,034945,0 - 60,m/s,B,,
009-07-03-06,127,Conductivity,Aanderaa,3919B,35,0 - 75,mmho/cm,B,,
009-07-03-06,127,Argos,Seimac,Wildcat,67701,N/A,N/A,B,,
009-07-03-06,127,GPS,Garmin ,16,N/A,N/A,N/A,B,,
009-07-03-06,127,LinkQuest,LinkQuest Modem,UMW-2000,740408AC,N/A,N/A,B,,
009-07-03-06,127,Modem,Qualcomm,GSP 1620,740408AC,N/A,N/A,B,,
009-10-07-05,126,Temperature/Humidity,Rotronic,MP101A,118839,0 - 100,%,B,,
009-10-07-05,126,Current Sensor,Aanderaa,DCS 3820R,507,0 - 300,cm/sec,B,,
009-10-07-05,126,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
009-10-07-05,126,Temperature/Humidity,Rotronic,MP101A,118839,(-)30 - (+)70,degree,B,,
009-10-07-05,126,Anemometer,Gill,Windsonic,034945,0 - 60,m/s,B,,
009-10-07-05,126,Conductivity,Aanderaa,3919B,163,N/A,N/A,B,,
009-12-05-08,130,Temperature/Humidity,Rotronic,MP101A,123720,0 - 100,%,B,,
009-12-05-08,130,Current Sensor,Aanderaa,DCS 3900R,507,0-300,cm/s,B,,
009-12-05-08,130,Compass,Honeywell,HMR3300,N/A,0 - 360 ,deg. Mag.,B,,
