Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,"Sensor, norman",Modem_Type,Deployment_Ship,Deployment_Date,,Dep-date norman,"Dep-time,norman",Recovery_Date,,Recovery date,Recovery time,Recovery_Ship,Deployed_Days,,inclination,Comments,,,,,,,,,,,,
2003-01-30,017-01-03-03,144,K,System 17,44,DCS/44,Globalstar,R/V Gyre,1/30/2003,,1/30/2003,,9/9/2003,,9/9/2003,,R/V Gyre,222,,,,,,,,,,,,,,,
2003-01-30,04-2003-01-30,266,J,System 4,45,DCS/45,Globalstar,R/V Gyre,1/30/2003,,1/30/2003,,9/9/2003,,9/9/2003,,R/V Gyre,222,,,,,,,,,,,,,,,
2003-01-31,40018-12-17-02,35,W,40018,178,DCS/178,Motorola,R/V Gyre,1/31/2003,,1/31/2003,,9/8/2003,,9/8/2003,,R/V Gyre,220,,,,,,,,,,,,,,,
2003-01-31,40014-2003-01-31,226,D,40014,42,DCS-42,Motorola,R/V Gyre,1/31/2003,,1/31/2003,0:00:00,7/18/2003,,7/18/2003,0:00:00,R/V Longhorn,168,,5.33,-,,,,,,,,,,,,
2003-02-01,02-2003-02-01,191,B,System 2,223,DCS223,Globalstar,R/V Gyre,2/1/2003,,2/1/2003,0:00:00,7/19/2003,,7/19/2003,0:00:00,R/V Longhorn,168,,4.23,-,,,,,,,,,,,,
2003-07-20,0109-02-13-03,3,F,109,31,DCS/31,Motorola,R/V Longhorn,7/20/2003,,7/20/2003,,2/24/2004,,2/24/2004,,R/V Gyre,219,,,,,,,,,,,,,,,
2003-07-21,001-07-03-03,90,B,System 1,96,DCS96,Globalstar,R/V Gyre,7/21/2003,,7/21/2003,0:00:00,2/22/2004,,2/22/2004,10:30:00,R/V Gyre,216,,4.23,-,,,,,,,,,,,,
2003-07-22,0111-07-03-03,9,D,111,31,DCS-31,Globalstar,R/V Longhorn,7/22/2003,,7/22/2003,0:00:00,9/8/2003,,9/8/2003,0:00:00,R/V Gyre,48,,5.33,-,,,,,,,,,,,,
2003-07-23,,,F,,,DCS3900,,,7/23/2003,0:00:00,7/23/2003,0:00:00,2/24/2004,3:30:00,2/24/2004,3:30:00,,,3.83,3.83,-,-,28.836,94.2355,3.83,,-,,,,,,120
2003-07-23,,,R,,,DCS3900,,,7/23/2003,5:30:00,7/23/2003,5:30:00,9/9/2003,17:00:00,9/9/2003,17:00:00,,,3.43,3.43,-,-,29.64728,93.63947,3.43,,-,,,,,,215
