Deployment date,,,,,Sensor,,,Deployment date,Deployment time,Recovery date,Recovery time,,,inclination,Comments,lat,lon,inclination,,Comments,,,,,,
8/16/1999,,,F,,B-1560,,,8/16/1999,4:00:00,12/1/1999,0:00:00,,,4.05,No_data_in_the_record,28.836,94.2355,4.05,,No_data_in_the_record,,,,,,111
8/16/1999,,,B,,B-1558,,,8/16/1999,4:30:00,2/20/2000,0:00:00,,,4.43,-,28.98283,94.9162,4.43,,-,,,,,,28
9/29/1999,40016-1999-09-29,223,D,40016,B-1561,Motorola,R/V Longhorn,9/29/1999,,2/6/2000,,R/V Longhorn,130,,,,,,,,,,,,,
10/1/1999,,,D,,B-1561,,,10/1/1999,16:00:00,2/7/2000,0:00:00,,,5.5,Data_stops_on_01/01/2000,27.93295,96.8076,5.5,,Data_stops_on_01/01/2000,,,,,,77
12/1/1999,,,F,,B-1539,,,12/1/1999,8:00:00,2/18/2000,0:00:00,,,3.95,-,28.836,94.2355,3.95,,-,,,,,,112
12/14/1999,,,S,,B-1529,,,12/14/1999,20:00:00,6/4/2000,16:00:00,,,3.1,-,28.43642,92.81115,3.1,,-,,,,,,238
12/15/1999,04-1999-12-15,202,B2,System 4,DCS3500,Sat,R/V Longhorn,12/15/1999,,1/13/2000,,R/V Gyre,29,,,,,,,,,,,,,
2/6/2000,40018-2000-02-06,220,D,40018,B-1531,Motorola,R/V Longhorn,2/6/2000,,7/14/2000,,R/V Longhorn,159,,,,,,,,,,,,,
2/7/2000,,,D,,B-1531,,,2/7/2000,0:00:00,7/14/2000,1:30:00,,,5.42,-,27.93295,96.8076,5.42,,-,,,,,,78
2/7/2000,,,J,,B-1433,,,2/7/2000,15:00:00,4/17/2000,0:00:00,,,5.57,Recovered_drifting.,26.18833,97.05067,5.57,,Recovered_drifting.,,,,,,145
2/18/2000,,,F,,Unknown,,,2/18/2000,0:00:00,9/28/2000,7:00:00,,,3.95,-.,28.836,94.2355,3.95,,-.,,,,,,113
