Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,Modem_Type,Deployment_Ship,Deployment_Date,,Recovery_Date,,Recovery_Ship,Deployed_Days,,,,,,,,,,,,,
5/14/2002,003-04-22-02,101,K,System 3,DCS/19,Globalstar,R/V Longhorn,5/14/2002,,8/2/2002,,missing,80,,,,,,,,,,,,,
5/15/2002,0111-05-03-02,8,W,111,DCS/73,Motorola,R/V Longhorn,5/15/2002,,7/26/2002,,R/V Longhorn,72,,,,,,,,,,,,,
5/15/2002,014-05-07-02,139,J,System 14,DCS/43,Globalstar,R/V Longhorn,5/15/2002,,9/12/2002,,R/V Longhorn,120,,,,,,,,,,,,,
5/15/2002,40014-04-19-02,23,D,40014,DCS/42,Motorola,R/V Longhorn,5/15/2002,,11/21/2002,,R/V Longhorn,190,,,,,,,,,,,,,
7/12/2002,006-06-26-02,114,N,System 6,DCS/109,Globalstar,R/V Gyre,7/12/2002,,7/25/2002,,R/V Longhorn,13,,,,,,,,,,,,,
7/13/2002,0110-07-02-02,16,R,110,DCS/19,Motorola,R/V Gyre,7/13/2002,,11/10/2002,,R/V Gyre,120,,,,,,,,,,,,,
7/14/2002,002-05-29-02,93,B,System 2,DCS/110,Globalstar,R/V Gyre,7/14/2002,,9/13/2002,,R/V Longhorn,61,,,,,,,,,,,,,
7/25/2002,016-2002-07-25,281,N,System 16,DCS/094,Globalstar,R/V Longhorn,7/25/2002,,11/9/2002,,R/V Gyre,107,,,,,,,,,,,,,
7/26/2002,80085-07-17-02,76,W,80085,DCS/173,Motorola,R/V Longhorn,7/26/2002,,10/25/2002,,R/V Longhorn,91,,,,,,,,,,,,,
9/11/2002,,,F,,DCS3900,,,9/11/2002,0:00:00,12/31/2002,0:00:00,,,3.83,-,28.836,94.2355,3.83,,-,,,,,,119
9/12/2002,001-08-14-02,88,K,System 1,DCS/96,Globalstar,R/V Longhorn,9/12/2002,,1/30/2003,,R/V Gyre,140,,,,,,,,,,,,,
9/12/2002,004-08-13-02,104,J,System 4,DCS/45,Globalstar,R/V Longhorn,9/12/2002,,1/30/2003,,R/V Gyre,140,,,,,,,,,,,,,
9/13/2002,02-2002-09-13,190,B,System 2,DCS/176,Globalstar,R/V Longhorn,9/13/2002,,1/29/2003,,R/V Gyre,138,,,,,,,,,,,,,
11/7/2002,40018-09-24-02,34,W,40018,DCS/178,Motorola,R/V Gyre,11/7/2002,,11/21/2002,,R/V Gyre,14,,,,,,,,,,,,,
11/9/2002,005-08-14-02,109,N,System 5,DCS/109,Globalstar,R/V Gyre,11/9/2002,,1/29/2003,,R/V Gyre,81,,,,,,,,,,,,,
11/9/2002,50039-09-27-02,57,F,50039,DCS/17,Motorola,R/V Gyre,11/9/2002,,7/20/2003,,R/V Longhorn,253,,,,,,,,,,,,,
11/10/2002,80086-10-15-02,70,R,80086,DCS/16,Motorola,R/V Gyre,11/10/2002,,7/19/2003,,R/V Longhorn,251,,,,,,,,,,,,,
11/21/2002,0109-11-01-02,2,W,109,DCS/31,Motorola,R/V Longhorn,11/21/2002,,1/31/2003,,R/V Gyre,71,,,,,,,,,,,,,
11/21/2002,80085-11-15-02,77,D,80085,DCS/173,Motorola,R/V Longhorn,11/21/2002,,1/31/2003,,R/V Gyre,71,,,,,,,,,,,,,
1/29/2003,015-2003-02-19,319,V,System 15,DCS/70,Globalstar,R/V Gyre,1/29/2003,,7/14/2003,,missing,166,,,,,,,,,,,,,
1/29/2003,016-12-12-02,142,N,System 16,DCS/094,Globalstar,R/V Gyre,1/29/2003,,10/27/2003,,R/V Gyre,271,,,,,,,,,,,,,
